mean_r,mean_g,mean_b,std_r,std_g,std_b,lab_L,lab_a,lab_b,lch_L,lch_C,lch_h,michelson,rms_contrast,local_contrast,sharpness,entropy,edge_sobel,edge_canny,n_components,comp_area_mean,comp_ecc_mean,hog_norm,palette_0_rgb,palette_1_rgb,palette_2_rgb,palette_0_prop,palette_1_prop,palette_2_prop,warm_prop,cold_prop,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,huebin_0,huebin_1,huebin_2,huebin_3,huebin_4,huebin_5,huebin_6,huebin_7,hog_c0,hog_c1,hog_c2,hog_c3,hog_c4,hog_c5,hog_c6,hog_c7,hog_c8,hog_c9,hog_c10,hog_c11,hog_c12,hog_c13,hog_c14,hog_c15
76.595703125,85.095703125,71.171875,34.8277937273,36.8572338173,32.7076561601,34.6482039176,-5.74620695267,6.89050682686,34.6482039176,13.4417638046,150.634784914,0.917875945568,0.138798549771,0.102657303214,0.0714598149061,4.79573749403,0.7314453125,0.3369140625,2,374.5,0.756481137394,3.0,"[82, 92, 72]","[42, 47, 43]","[125, 137, 117]",0.431640625,0.3642578125,0.2041015625,0.1953125,0.2890625,0.0947265625,0.123046875,0.05859375,0.0791015625,0.1279296875,0.099609375,0.064453125,0.0791015625,0.0966796875,0.1767578125,0.12109375,0.2607421875,0.37109375,0.0380859375,0.1259765625,0.0673828125,0.00390625,0.01171875,0.226129263639,0.151340201497,0.0868644267321,0.177009224892,0.189511999488,0.077903136611,0.102967336774,0.0963625535369,0.143685534596,0.238306701183,0.210893392563,0.238306701183,0.214454337955,0.179639443755,0.164581790566,0.0794030725956
93.4599609375,102.491210938,88.3388671875,39.2364422046,43.2256063896,31.7659195616,41.6740287527,-5.95742525185,6.48862302724,41.6740287527,12.4567496548,169.02888618,0.998190164566,0.161675527692,0.108774416149,0.052852243185,4.86224968494,0.5615234375,0.2197265625,9,63.8888888889,0.714748866522,3.0,"[96, 111, 91]","[43, 42, 47]","[141, 150, 127]",0.5078125,0.259765625,0.232421875,0.1259765625,0.1669921875,0.0751953125,0.111328125,0.072265625,0.0966796875,0.1591796875,0.1083984375,0.0654296875,0.0869140625,0.0732421875,0.1513671875,0.029296875,0.2021484375,0.4912109375,0.048828125,0.0146484375,0.126953125,0.05859375,0.0283203125,0.172502472997,0.0204021446407,0.0384271889925,0.0309165343642,0.234576776624,0.114168211818,0.0818453803658,0.134448081255,0.0210373811424,0.235552400351,0.0339233055711,0.224477365613,0.284195750952,0.284195750952,0.105369597673,0.117077283561
88.708984375,82.4033203125,69.970703125,33.7514941415,33.4955458313,28.2872942625,34.8088243891,0.356472043426,8.10196402557,34.8088243891,8.73623701097,83.2304899454,0.923469245434,0.12968762219,0.0885538607836,0.0240933410823,4.63471918537,0.5224609375,0.2197265625,2,267.5,0.854662144733,2.99999976158,"[115, 110, 92]","[71, 63, 56]","[38, 32, 27]",0.5361328125,0.2666015625,0.197265625,0.9130859375,0.0,0.048828125,0.0986328125,0.06640625,0.119140625,0.248046875,0.126953125,0.0517578125,0.0791015625,0.060546875,0.1005859375,0.60546875,0.380859375,0.0,0.0,0.0,0.0,0.0,0.013671875,0.0332760512829,0.0294502675533,0.0342602394521,0.0882311239839,0.164599820971,0.0576602630317,0.0226199254394,0.00936951581389,0.0184250865132,0.193933278322,0.0192937571555,0.016975088045,0.0843848064542,0.212961509824,0.264176756144,0.260342419147
118.169921875,110.178710938,91.7568359375,42.6939100421,40.6739644332,40.5281592421,46.2625791598,0.321291186812,11.4675841749,46.2625791598,14.5128980546,110.348648216,0.754966914654,0.159571111202,0.111979961395,0.0302633568645,4.9477737143,0.7197265625,0.306640625,1,737.0,0.298411708926,2.99999976158,"[117, 110, 95]","[67, 59, 41]","[170, 159, 135]",0.4560546875,0.2724609375,0.271484375,0.8759765625,0.087890625,0.05078125,0.083984375,0.06640625,0.158203125,0.2294921875,0.1591796875,0.0703125,0.0537109375,0.0458984375,0.08203125,0.611328125,0.2724609375,0.001953125,0.0029296875,0.0478515625,0.046875,0.009765625,0.0068359375,0.181901723146,0.0988528952003,0.0936140492558,0.116571702063,0.135632768273,0.213687077165,0.193008303642,0.245956033468,0.0313650928438,0.0945027545094,0.0343610793352,0.0803854987025,0.113529838622,0.245824187994,0.205006361008,0.179598420858
134.663085938,135.012695312,133.829101562,45.4881376691,59.1619767018,76.7339858393,55.5745269378,0.934905162621,1.7911429924,55.5745269378,15.0057949066,156.084332618,0.870943486691,0.223411813378,0.135334998369,0.0395873226225,4.94276676447,0.580078125,0.22265625,1,594.0,0.587782374285,3.0,"[176, 192, 212]","[123, 120, 97]","[71, 48, 38]",0.435546875,0.333984375,0.23046875,0.4638671875,0.3896484375,0.0546875,0.0849609375,0.052734375,0.1025390625,0.201171875,0.154296875,0.0673828125,0.0732421875,0.068359375,0.140625,0.330078125,0.23046875,0.009765625,0.005859375,0.3671875,0.0244140625,0.0068359375,0.025390625,0.195705905557,0.108593165874,0.0,0.15604904294,0.259258002043,0.133256614208,0.168765231967,0.259258002043,0.115668043494,0.00555555708706,0.000411493849242,0.0,0.0,0.181658565998,0.259258002043,0.259258002043
142.942382812,140.642578125,155.854492188,26.9495260385,36.7788362578,64.1913743303,59.1951400801,5.77405452031,-6.60409018798,59.1951400801,20.2425798791,213.517086833,0.732721626759,0.13729120791,0.0865279063582,0.0282916538417,4.63276604667,0.4716796875,0.205078125,2,241.5,0.268909623807,3.0,"[153, 165, 202]","[116, 79, 46]","[136, 124, 123]",0.60546875,0.19921875,0.1953125,0.3505859375,0.521484375,0.04296875,0.10546875,0.0634765625,0.1318359375,0.205078125,0.12890625,0.07421875,0.076171875,0.060546875,0.111328125,0.2822265625,0.0166015625,0.0,0.0,0.30078125,0.326171875,0.03125,0.04296875,0.1669254601,0.0989503487945,0.287342786789,0.221205323935,0.145519778132,0.110853776336,0.028060304001,0.0142962737009,0.114829197526,0.287342786789,0.138284474611,0.0623534917831,0.115157604218,0.152355104685,0.0826144814491,0.16073089838
79.947265625,76.0869140625,61.29296875,53.7698287584,48.5012611048,49.3400203366,31.4598650197,-0.964700628441,9.14290092794,31.4598650197,11.9110751519,124.846697935,0.973841905594,0.193319648504,0.112340793014,0.0320155471563,4.96460164935,0.669921875,0.2666015625,3,228.666666667,0.815228412815,3.0,"[43, 43, 29]","[107, 101, 81]","[192, 176, 167]",0.5751953125,0.3125,0.1123046875,0.576171875,0.083984375,0.0654296875,0.091796875,0.064453125,0.1376953125,0.2080078125,0.123046875,0.0791015625,0.07421875,0.0478515625,0.1083984375,0.3525390625,0.376953125,0.041015625,0.01171875,0.0322265625,0.0625,0.05078125,0.072265625,0.137933641672,0.112977832556,0.142856568098,0.248691827059,0.241824880242,0.12225124985,0.0850870236754,0.0536959767342,0.101928196847,0.181437268853,0.248691827059,0.135290756822,0.170458436012,0.223270907998,0.180504098535,0.119174920022
74.64453125,64.21484375,46.0205078125,56.5014052765,49.4052788327,43.0143572658,27.0646057151,1.45375260557,12.3363431436,27.0646057151,13.3452665549,89.0920302835,1.0,0.196536764503,0.108648866415,0.0342022776604,4.87231920155,0.623046875,0.228515625,1,638.0,0.403004837828,3.0,"[82, 70, 47]","[26, 22, 13]","[177, 153, 124]",0.435546875,0.40625,0.158203125,0.87890625,0.0537109375,0.0537109375,0.083984375,0.0693359375,0.1416015625,0.197265625,0.134765625,0.0810546875,0.0537109375,0.076171875,0.1083984375,0.7216796875,0.19140625,0.044921875,0.0068359375,0.009765625,0.0146484375,0.0,0.0107421875,0.101920336485,0.0,0.0609816946089,0.2002350986,0.239537581801,0.026710126549,0.239537581801,0.239537581801,0.0824480652809,0.0547679550946,0.0431749112904,0.0755673572421,0.0982084497809,0.097779519856,0.0567768290639,0.0440561920404
142.005859375,116.670898438,81.2001953125,53.302625522,49.9788050075,43.7456243343,50.0053550314,5.18947148371,23.1895035393,50.0053550314,24.0708437267,81.2473253249,0.817877173424,0.195183962584,0.118425220251,0.0473340526223,5.03948339979,0.63671875,0.2607421875,2,326.0,0.224352498539,3.00000023842,"[91, 69, 46]","[177, 143, 91]","[207, 191, 159]",0.4658203125,0.376953125,0.1572265625,0.966796875,0.0224609375,0.052734375,0.1259765625,0.076171875,0.1103515625,0.173828125,0.1083984375,0.0673828125,0.0751953125,0.08203125,0.1279296875,0.9248046875,0.0498046875,0.005859375,0.00390625,0.015625,0.0,0.0,0.0,0.243078947067,0.243078947067,0.209290653467,0.243078947067,0.192519575357,0.0890069380403,0.0967019423842,0.0248451940715,0.232837170362,0.0593921914697,0.243078947067,0.243078947067,0.0927668958902,0.0691874325275,0.132626846433,0.0863478034735
111.564453125,94.025390625,82.134765625,51.9267978039,45.6769966963,46.890720305,40.6315089489,5.08343204848,9.62068699027,40.6315089489,12.2181589543,80.9960309039,0.695911109447,0.183807715774,0.088918030262,0.0192007739097,4.62623384407,0.4326171875,0.1689453125,3,147.666666667,0.269608181759,3.0,"[78, 66, 53]","[131, 102, 93]","[207, 181, 171]",0.6318359375,0.189453125,0.1787109375,0.9755859375,0.00390625,0.05859375,0.0869140625,0.0791015625,0.1455078125,0.1748046875,0.1181640625,0.048828125,0.091796875,0.0751953125,0.12109375,0.8017578125,0.1123046875,0.0,0.0,0.001953125,0.0087890625,0.0146484375,0.060546875,0.323321372271,0.017818601802,0.0253534261137,0.0605453141034,0.294902712107,0.127483263612,0.0135071799159,0.0395556017756,0.0,0.323321372271,0.287155687809,0.323321372271,0.323321372271,0.323321372271,0.222867950797,0.0155081227422
